GEO.id2,M15,M15E,M2034,M2034E,M3544,M3544E,M4554,M4554E,M65,M65E,F15,F15E,F2034,F2034E,F3544,F3544E,F4554,F4554E,F65,F65E
601,40.1,3.2,64,8.6,50.7,9.6,12.8,6.6,5.5,3.2,59.4,7.5,18.9,7,14.4,6,19.7,10,4.1,2.7
602,39.2,2.3,68.3,5.8,32.2,8.2,26.2,7.7,7.1,2.8,55.5,5.2,20.9,6.4,17.2,5.4,17.9,6.2,7.6,3.8
603,39.2,2.1,73.6,4.6,37.1,5.9,25.8,6.5,4.3,1.7,60.1,4.5,29,6,20.9,4.7,12.9,3.9,5.3,1.8
606,48,6.2,78.2,10.7,42.3,15.7,40.8,21.6,24.6,18.2,71.2,12.4,36.6,23.2,26.9,17,3.2,3.9,19.6,14.2
610,39.5,2.9,68.4,5.8,34.8,8.3,22,7.7,4.2,2.9,53.1,6.6,22.8,6.8,16,6.1,7.7,3.6,4.4,2.5
612,40.6,1.6,72,3.3,34.5,5.9,24.1,5.5,9.6,3.3,57.8,4.3,20.9,4.2,20.3,4.7,9.1,2.8,8,2.1
616,38.2,4.4,76,11.7,25,11.7,24.4,10.7,10.1,6.4,64.1,11.3,9.4,6.2,25.6,12.1,13.2,8.9,2.9,3.2
617,37,3.8,56.7,7.1,27.3,11.4,22.6,10.9,11.2,7.4,52.1,8.5,25.1,9.4,21,9.2,11.8,7.9,5.3,4.5
622,31.2,7.4,75,16.6,4.1,7.9,0,11.1,11.8,9.9,45.5,17.4,36.4,23.1,9.1,14.6,3,4.9,12.2,8.9
623,42.8,2.9,80.4,5.5,39.6,9.3,21,8.6,13,5.4,68.8,7.3,25.4,7.5,19.3,5.9,13,6.2,5.5,2.6
624,42.5,3.3,66.9,5.6,43.6,9.4,20.3,6.9,6.9,4.4,60.8,4.7,18.4,6.1,14.3,5.5,13.2,5.5,4.8,2.7
627,36,2.8,66.8,6.6,23.6,7.6,18.5,7.3,5.6,2.8,58.5,6.2,17.2,6.8,10.9,4.1,6,3,4.8,2.7
631,45.6,9.7,69.1,22.6,51.4,46.7,55.6,23.5,8.5,12,77.7,18.9,11.1,21.2,24.1,18.4,0,24.4,9.1,9.8
637,46.9,3.5,74,5.9,47.6,13.4,35.8,11.3,11.6,4.4,73.3,6.6,23.1,8.9,25.5,7.2,17.3,7.6,5.4,2.7
638,44.4,3.4,78.6,6.3,37.8,11,35.7,10.9,4.8,3.3,67.5,9,26.1,8.6,7.2,5.6,12.9,6.6,4.7,2.7
641,38.7,2.2,71.3,5.6,34.8,8.8,21.7,6.6,6.1,3.4,62.1,5.2,26,7,16.6,5.3,15.1,4.8,9.1,5.8
646,36.2,2.3,64.3,5.1,22.8,5.6,19.5,6.7,6.7,4.2,56,5.5,17,6,17.2,5.3,9.1,5.3,4.8,2.9
647,33,7.6,48.9,16.5,45,21,35.9,21.4,7.7,4.9,47.3,17.1,20.9,19.5,28.1,16.2,30,15.6,8.5,6.5
650,37.6,4.3,67.7,10,28.6,12.4,18.8,13.6,7.7,5.8,52.8,8.3,22.4,12.2,14.7,8.4,9,6.7,5.8,6.4
652,39.3,11,76.5,19.5,23.8,17.2,43,32.2,0,13.2,61,22.8,29.7,25.3,14.9,15.8,18.9,14.8,5.7,8.9
653,44.4,4.4,74.7,8.3,40.3,15.4,22.1,11.5,8.9,5.6,68.8,9.2,26.6,13.7,15.6,7.7,17.6,7.8,11.6,6.6
656,43.5,3.1,77,5.4,29.1,10.4,34.3,9.2,9.5,4.6,63.7,6.5,26.4,7.8,20.9,6.8,15.8,4.7,7.9,3.3
659,37.1,2.6,68.8,6.2,23.3,6.9,19.8,6.8,7,3.8,50.4,5.5,20.7,7.2,11.9,4.8,3.6,3.1,5.9,3.5
660,35,3.4,69.8,8.8,34.2,10.7,20.9,8.2,4.2,3.1,56.1,9.5,29.6,10.1,20.1,8.4,16.3,7.2,7.8,3
662,40.4,2.7,73.3,6.7,35.1,7.8,24.6,6.5,9.2,3.7,62.3,5.4,19.1,6.6,13.2,4.8,11.6,5.2,5.3,3.5
664,50,4.2,80.3,8.1,45.9,16.2,31,12.4,5.9,6.1,70.8,9.2,27,11.1,35.3,11.8,9.6,8,6,4.5
667,41,3.7,73.9,6.9,37,10.8,28.6,11.1,10.4,5.1,61.2,6.7,20.5,7.8,9.3,7.2,7.8,4.3,8.2,3.6
669,37.4,2.4,64.5,4.9,26,7.9,22.2,6.4,11.1,5.1,55,5.4,14.6,5.4,12.1,5.3,5.3,3.4,9.8,3.9
